지역구,지역동,아파트명,최저 시세,최고 시세,세대 수,동 수,최소 전용면적,최대 전용면적,초등학교까지의 거리
강남구,개포동,YH빌리지,,,16,1,33.02,36.32,11
강남구,개포동,개포래미안포레스트,180000,460000,2296,31,74.31,174.19,2
강남구,개포동,개포비버리하임(도시형),,,29,2,28.54,66.23,5
강남구,개포동,개포상지리츠빌,400000,400000,18,1,178.74,240.58,4
강남구,개포동,개포자이,280000,350000,212,4,160.71,204.52,1
강남구,개포동,개포자이르네,,,28,1,71.89,158.9,5
강남구,개포동,개포주공5단지,238000,285000,940,6,75.33,116.04,3
강남구,개포동,개포주공6단지,230000,290000,1060,9,68.43,107.31,2
강남구,개포동,개포주공7단지,230000,290000,900,8,73.43,114.72,2
강남구,개포동,개포프레지던스자이,225000,330000,3375,35,59.86,243.78,
강남구,개포동,개포현대(200동),,,72,1,101.55,101.55,1
강남구,개포동,개포현대2차(220동),,,54,1,98.54,98.54,1
강남구,개포동,개포현대5차,,,18,1,148.38,148.38,4
강남구,개포동,개포현대6차,,,19,1,116.85,154.77,10
강남구,개포동,경남,290000,420000,678,9,97.92,198.33,4
강남구,개포동,그루(주상복합),,,20,1,16.12,39.97,13
강남구,개포동,뉴현대파크빌,,,10,1,79.61,96.08,3
강남구,개포동,대청,155000,200000,822,6,56.5,81.67,2
강남구,개포동,대치2단지,117000,170000,1758,11,46.73,67.75,6
강남구,개포동,더샵그린,,,19,1,214.21,258.84,5
강남구,개포동,더샵트리에,300000,380000,232,2,132.23,135.57,2
강남구,개포동,디에이치아너힐즈,190000,530000,1320,23,67.54,202.81,13
강남구,개포동,디에이치퍼스티어아이파크,210000,700000,6702,74,50.73,230.69,
강남구,개포동,래미안블레스티지,180000,500000,1957,23,67.77,249.51,11
강남구,개포동,런던빌개포,,,15,1,28.6,40.61,9
강남구,개포동,렉스힐(주상복합),,,8,1,55.19,55.19,9
강남구,개포동,리더스,,,10,1,92.57,94.36,5
강남구,개포동,새롬,,,41,3,48.87,82.85,5
강남구,개포동,쌍용개포(주상복합),,,16,1,162.94,162.94,1
강남구,개포동,에버그린(주상복합),,,9,1,74.08,106.04,6
강남구,개포동,우성3차,285000,410000,405,5,110.6,182.45,4
강남구,개포동,우성6차,210000,265000,270,8,61.32,86.52,3
강남구,개포동,우성8차,240000,260000,261,3,98.87,109.35,7
강남구,개포동,우찬현대(101),,,15,1,65.21,156.31,6
강남구,개포동,우찬현대(102),,,10,1,71.89,152.26,6
강남구,개포동,우찬현대(103),,,10,1,71.89,152.26,6
강남구,개포동,포이벨리,,,10,1,98.3,98.3,4
강남구,개포동,한림,,,12,1,82.57,82.57,4
강남구,개포동,현대1차,280000,380000,416,6,102.73,193.8,6
강남구,개포동,현대2차,280000,410000,558,13,105.78,195.17,1
강남구,개포동,현대3차,300000,420000,198,5,105.86,198.26,6
강남구,개포동,현대빌라트,,,14,1,174.05,194.46,3
강남구,논현동,N168(도시형),,,132,1,26.32,43.09,10
강남구,논현동,강남파라곤(주상복합),175000,220000,58,1,100.88,203.87,8
강남구,논현동,거평프리젠,45000,98000,113,1,41.83,82.93,4
강남구,논현동,경남논현,135000,150000,60,1,79.97,153.41,2
강남구,논현동,골든캐슬,,,7,1,131.35,154.9,10
강남구,논현동,그랑디오스,260000,260000,15,1,100.59,163.69,5
강남구,논현동,기린힐스(도시형),,,249,1,26.2,33.34,11
강남구,논현동,꿈꾸지오(도시형),,,28,2,26.28,38.37,3
강남구,논현동,논현e-편한세상,148000,230000,63,1,109.11,166.4,5
강남구,논현동,논현대우멤버스카운티,,,19,1,150.45,153.85,13
강남구,논현동,논현더라움,,,16,1,31.77,34.34,7
강남구,논현동,논현동부센트레빌,190000,270000,160,4,106.82,136.29,3
강남구,논현동,논현동양파라곤,410000,450000,203,4,173.4,301.42,5
강남구,논현동,논현두산위브1단지,200000,200000,130,2,107.71,140.87,3
강남구,논현동,논현두산위브2단지,200000,200000,136,2,87.65,135.37,3
강남구,논현동,논현라폴리움,480000,550000,18,1,491.26,540.18,4
강남구,논현동,논현멤버스카운티,,,11,1,120.27,124.88,13
강남구,논현동,논현베르빌,,,65,1,130.84,227.23,11
강남구,논현동,논현브라운스톤로얄스위트,,,19,1,249.11,266.39,11
강남구,논현동,논현빌라트,,,10,1,54.22,77.98,8
강남구,논현동,논현신동아파밀리에,94000,230000,644,6,52.92,140.5,14
강남구,논현동,논현아이파크(주상복합),150000,240000,99,1,69,123.76,5
강남구,논현동,논현아테나니케,180000,180000,12,1,127.92,128.73,13
강남구,논현동,논현아트빌,92000,105000,11,1,80.87,126.42,12
강남구,논현동,논현아펠바움1차,,,38,4,277.91,311.2,7
강남구,논현동,논현아펠바움2차,450000,500000,38,3,281.22,317.73,6
강남구,논현동,논현월드메르디앙,,,82,1,94.26,144.5,10
강남구,논현동,논현웰스톤(주상복합),145000,150000,38,1,93.53,126.87,12
강남구,논현동,논현인텔리전트하우스,,,19,1,26.87,130.2,11
강남구,논현동,논현테크노빌,,,10,2,117.86,203.67,3
