,,,2017년 12월,2018년 12월,2019년 12월,2020년 12월,2021년 12월,2022년 12월
,매출액,셀트리온,9491,9821,11285,18491,19116,22693
,영업이익,셀트리온,5078,3387,3781,7121,7525,8314
,부채비율,셀트리온,36.33,34.48,33.94,46.09,39.86,35.09
,영업이익률,셀트리온,53.51,34.49,33.5,38.51,39.36,36.63
,,,Dec-17,Dec-18,Dec-19,Dec-20,Dec-21,Dec-22
,매출액,유한양행,14622,15188,14804,16199,16878,18563
,영업이익,유한양행,887,501,125,843,486,751
,부채비율,유한양행,30.4,31.61,28.32,29.62,27.27,29.26
,영업이익률,유한양행,6.07,3.3,0.85,5.2,2.88,4.05
,,,Dec-17,Dec-18,Dec-19,Dec-20,Dec-21,Dec-22
,매출액,녹십자,12879,13349,13571,15041,15378,16869
,영업이익,녹십자,903,502,417,503,737,965
,부채비율,녹십자,53.65,53.03,65.47,69.49,64.17,62.57
,영업이익률,녹십자,7.01,3.76,3.07,3.34,4.79,5.72
,,,Dec-17,Dec-18,Dec-19,Dec-20,Dec-21,Dec-22
,매출액,종근당,8844,9562,10793,13030,13436,14772
,영업이익,종근당,778,757,746,1239,948,1012
,부채비율,종근당,67.92,65.12,68.72,71.56,84.99,82.7
,영업이익률,종근당,8.79,7.92,6.91,9.51,7.05,6.85
,,,Dec-17,Dec-18,Dec-19,Dec-20,Dec-21,Dec-22
,매출액,광동제약,11416,11802,12383,12438,13382, 
,영업이익,광동제약,357,339,418,466,449, 
,부채비율,광동제약,73.6,69.91,77.17,65.41,67.63, 
,영업이익률,광동제약,3.13,2.88,3.38,3.75,3.36, 
,,,Dec-17,Dec-18,Dec-19,Dec-20,Dec-21,Dec-22
,매출액,삼바,4646,5358,7016,11648,15680,19415
,영업이익,삼바,660,557,917,2928,5373,6473
,부채비율,삼바,80.64,43.92,35.76,39.69,59.68,49.57
,영업이익률,삼바,14.2,10.39,13.08,25.14,34.27,33.34
,,,Dec-17,Dec-18,Dec-19,Dec-20,Dec-21,Dec-22
,매출액,씨젠,889,1023,1220,11252,13708,13007
,영업이익,씨젠,76,106,224,6762,6667,5755
,부채비율,씨젠,33.68,27.62,28.06,69.33,37.48,25.91
,영업이익률,씨젠,8.5,10.39,18.39,60.09,48.63,44.25
,,,Dec-17,Dec-18,Dec-19,Dec-20,Dec-21,Dec-22
,매출액,한미,9166,10160,11137,10759,12032,12872
,영업이익,한미,822,836,1039,490,1254,1346
,부채비율,한미,109.6,114.28,132.74,126.24,108.64,102.2
,영업이익률,한미,8.96,8.23,9.33,4.55,10.42,10.46
,,,Dec-17,Dec-18,Dec-19,Dec-20,Dec-21,Dec-22
,매출액,대웅,9603,10314,11134,10554,11530,12360
,영업이익,대웅,390,276,447,170,889,1089
,부채비율,대웅,92.15,98.72,95.88,96.61,101.48,90.72
,영업이익률,대웅,4.06,2.68,4.01,1.61,7.71,8.81
,,,Dec-17,Dec-18,Dec-19,Dec-20,Dec-21,Dec-22
,매출액,제일,3716,6271,6714,6913,7007, 
,영업이익,제일,50,74,2,129,-105, 
,부채비율,제일,132.45,117.86,137.12,137.51,154.85, 
,영업이익률,제일,1.34,1.18,0.03,1.87,-1.5, 
,,,Dec-17,Dec-18,Dec-19,Dec-20,Dec-21,Dec-22
,매출액,동아,5550,5674,6123,5867,5932,6263
,영업이익,동아,239,394,566,340,156,293
,부채비율,동아,54.81,63.74,56.19,52.73,70.02,69.06
,영업이익률,동아,4.3,6.95,9.24,5.79,2.63,4.68
,,,Dec-17,Dec-18,Dec-19,Dec-20,Dec-21,Dec-22
,매출액,일동,4607,5039,5175,5618,5601, 
,영업이익,일동,254,283,-14,66,-555, 
,부채비율,일동,98.33,103.98,142.29,137.79,341.49, 
,영업이익률,일동,5.51,5.62,-0.27,1.18,-9.91, 
,,,Dec-17,Dec-18,Dec-19,Dec-20,Dec-21,Dec-22
,매출액,동국,3548,4008,4823,5591,5942,6564
,영업이익,동국,501,551,686,847,632,767
,부채비율,동국,33.57,44.82,41.24,52.17,55.73, 
,영업이익률,동국,14.11,13.75,14.22,15.16,10.64,11.68
,,,Dec-17,Dec-18,Dec-19,Dec-20,Dec-21,Dec-22
,매출액,중외,5029,5372,5113,5473,6066,6935
,영업이익,중외,217,216,-190,-13,312,705
,부채비율,중외,132.99,128.28,149.12,164.66,235.77,205.45
,영업이익률,중외,4.32,4.02,-3.72,-0.24,5.14,10.17
,,,Dec-17,Dec-18,Dec-19,Dec-20,Dec-21,Dec-22
,매출액,보령,4227,4604,5243,5619,6273,6835
,영업이익,보령,10,250,391,400,414,530
,부채비율,보령,61.23,75.72,79.4,90.43,74.7,73.9
,영업이익률,보령,0.24,5.42,7.45,7.12,6.61,7.75
,,,Dec-17,Dec-18,Dec-19,Dec-20,Dec-21,Dec-22
,매출액,한독,4180,4467,4730,5036,5176, 
,영업이익,한독,-19,221,275,284,280, 
,부채비율,한독,119.92,108.25,117.64,114.46,119.16, 
,영업이익률,한독,-0.45,4.94,5.81,5.63,5.41, 
,,,Dec-17,Dec-18,Dec-19,Dec-20,Dec-21,Dec-22
,매출액,휴온스,2848,3286,3650,4067,4369, 
,영업이익,휴온스,362,453,484,541,453, 
,부채비율,휴온스,73.79,49.91,51.52,71.05,61.43, 
,영업이익률,휴온스,12.72,13.77,13.26,13.31,10.36, 
,,,Dec-17,Dec-18,Dec-19,Dec-20,Dec-21,Dec-22
,매출액,일양,2698,3000,3246,3433,3713, 
,영업이익,일양,244,167,325,341,410, 
,부채비율,일양,106.83,105.95,96.4,79.29,81.88, 
,영업이익률,일양,9.06,5.57,10.02,9.93,11.05, 
,,,Dec-17,Dec-18,Dec-19,Dec-20,Dec-21,Dec-22
,매출액,대원,2655,2867,3178,3085,3542,4198
,영업이익,대원,253,307,351,241,194,351
,부채비율,대원,35.14,50.35,60.38,57.55,96.69,97.07
,영업이익률,대원,9.53,10.73,11.05,7.81,5.48,8.35
,,,Dec-17,Dec-18,Dec-19,Dec-20,Dec-21,Dec-22
,매출액,동화,2589,3066,3072,2721,2930, 
,영업이익,동화,110,112,96,232,225, 
,부채비율,동화,23.67,24.61,25.57,26.59,24.34, 
동화,영업이익률,,4.24,3.66,3.11,8.51,7.68, 
