번호,설치장소명,설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치연월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
1,가평군청,민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2019-01,경기도 가평군 가평읍 석봉로 181,경기도 가평군 가평읍 읍내리 513번지,가평군청,031-580-4605,37.831352,127.509737,2020-07-27
2,가평읍,민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2019-01,경기도 가평군 가평읍 가화로 62,경기도 가평군 가평읍 읍내리 366번지,가평군청,031-580-4605,37.825151,127.516455,2020-07-27
3,상면사무소,민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2019-10,경기도 가평군 상면 청군로 1103,경기도 가평군 상면 연하리 171-1번지,가평군청,031-580-4605,37.805083,127.357254,2020-07-27
4,조종면사무소,민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2019-01,경기도 가평군 조종면 조종내길 71,경기도 가평군 조종면 현리 567-7번지,가평군청,031-580-4605,37.817546,127.353247,2020-07-27
5,북면사무소,민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2019-10,경기도 가평군 북면 가화로 1030-39,경기도 가평군 북면 목동리 913-4,가평군청,031-580-4605,37.888064,127.554837,2020-07-27
6,청평면사무소,민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2019-01,경기도 가평군 청평면 은고개로 19,경기도 가평군 청평면 청평리 333-1번지,가평군청,031-580-4605,37.740157,127.424155,2020-07-27
7,설악면사무소,민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2019-10,경기도 가평군 설악면 한서로 12,경기도 가평군 설악면 신천리 156-1번지,가평군청,031-580-4605,37.676251,127.494688,2020-07-27
8,중앙도서관,열람실,경기도,가평군,관공서,"SKT, KT, LGU+",,2019-01,경기도 가평군 가평읍 가화로 64,경기도 가평군 가평읍 읍내리 366번지,가평군청,031-580-4605,37.831371,127.509708,2020-07-27
9,청평도서관,열람실,경기도,가평군,관공서,"SKT, KT, LGU+",,2019-01,경기도 가평군 청평면 은고개로 31,경기도 가평군 청평면 청평리 333-2번지,가평군청,031-580-4605,37.739718,127.423979,2020-07-27
10,조종도서관,열람실,경기도,가평군,관공서,"SKT, KT, LGU+",,2019-01,경기도 가평군 조종면 조종희망로26번길 22,경기도 가평군 조종면 현리 420-6번지,가평군청,031-580-4605,37.818529,127.352844,2020-07-27
11,보건소,민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2019-01,경기도 가평군 가평읍 가화로 155-15,경기도 가평군 가평읍 읍내리 624-20번지,가평군청,031-580-4605,37.833513,127.510555,2020-07-27
12,상수도사업소,민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2019-01,경기도 가평군 가평읍 달전로31번길 48,경기도 가평군 가평읍 달전리 364번지,가평군청,031-580-4605,37.807241,127.512313,2020-07-27
