주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
1,광교 1동 공영,공영,노외,경기도 수원시 영통구 이의동 1260-6,경기도 수원시 영통구 이의동 1260-6,35,2,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,600,10,300,24,7000,60000,신용카드,,수원도시공사,031-211-6458,37.301659,127.030798,2020-12-11
2,광교 대학로 공영,공영,노외,경기도 수원시 영통구 원천동 577,경기도 수원시 영통구 원천동 577,51,2,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,600,10,300,24,7000,60000,신용카드,,수원도시공사,031-211-5491,37.253314,127.073947,2020-12-11
3,광교 중앙마을 공영,공영,노외,경기도 수원시 영통구 이의동 1274,경기도 수원시 영통구 이의동 1274,45,2,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,600,10,300,24,7000,60000,신용카드,,수원도시공사,031-211-2770,37.236039,127.018344,2020-12-11
4,광교공영,공영,노외,경기도 수원시 장안구 광교산로 160 (하광교동) ,경기도 수원시 장안구 하광교동403-1,357,기타,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,180,1000,180,1000,24,5000,40000,신용카드,,수원도시공사,031-247-9614,37.242429,127.014824,2020-12-11
5,교동공영,공영,노외,경기도 수원시 팔달구 향교로 140,경기도 수원시 팔달구 교동 98,252,2,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,600,10,300,24,7000,60000,신용카드,,수원도시공사,031-258-2025,37.249203,127.021438,2020-12-11
6,권선지하공영,공영,노외,경기도 수원시 권선구 세지로82번길 15-3,경기도 수원시 권선구 권선동 980-2,66,기타,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,400,10,200,24,4000,40000,신용카드,,수원도시공사,031-221-1527,37.274386,127.030586,2020-12-11
7,꽃뫼환승,공영,노외,경기도 수원시 팔달구 화산로6번길 6,경기도 수원시 팔달구 화서동 689-1,143,기타,미시행,평일,14:00,22:00,0:00,0:00,0:00,0:00,유료,30,300,10,200,24,3500,20000,신용카드,,수원도시공사,031-278-1491,37.271786,127.023842,2020-12-11
8,남수동,공영,노외,경기도 수원시 팔달구 창룡대로26번길 19,경기도 수원시 팔달구 남수동 41-7,60,기타,미시행,평일+토요일+공휴일,12:00,20:00,0:00,0:00,0:00,0:00,유료,30,400,10,200,24,4000,40000,신용카드,,수원도시공사,031-244-0020,37.273211,127.015351,2020-12-11
9,농수산시장,공영,부설,경기도 수원시 권선구 세권로 243,경기도 수원시 권선구 권선동 1229,290,2,미시행,평일+토요일,0:00,0:00,0:00,0:00,0:00,0:00,유료,60,0,10,200,24,6000,60000,신용카드,"1,3주 일요일 휴무, 화물차 1시간 무료",수원도시공사,031-267-2036,37.297909,126.971055,2020-12-11
10,대황교화물,공영,노외,경기도 수원시 권선구 정조로 224 (대황교동),경기도 수원시 권선구 대황교동 31-3,230,3,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,400,10,100,24,3500,"35,000",신용카드,"2.5~4.5톤:최초30분 700원, 초과10분당 200원, 일일요금 7000원, 월정기권 70000원, 4.5톤이상:최초30분 1100원, 초과10분당 300원, 일일요금 10500원, 월정기권 105000원",수원도시공사,031-267-4753,37.297909,126.971055,2020-12-11
